Jun 01
895.33.752.33:5974 -> 1
901.18.919.12:5807 -> 1
268.82.665.50:6202 -> 1
745.41.553.21:4925 -> 1
497.97.988.31:6636 -> 1
608.37.179.94:6715 -> 1
335.95.645.32:6284 -> 1
10.43.466.53:6937 -> 1
930.68.543.89:5825 -> 1
271.58.635.18:5758 -> 1
847.39.216.22:6665 -> 1
698.84.382.6:4362 -> 1
828.85.492.15:6281 -> 1
719.96.787.8:4897 -> 1
112.65.132.41:4869 -> 1
376.95.120.45:4335 -> 1
609.89.179.46:4444 -> 1
257.63.94.92:4928 -> 1
783.83.33.92:5184 -> 1
730.30.210.65:5167 -> 1
698.13.580.48:4394 -> 1
1.55.405.18:6734 -> 1
427.89.843.79:4664 -> 1
95.83.314.79:6429 -> 1
671.34.88.77:6167 -> 1
144.82.578.19:4054 -> 1
487.32.404.51:6471 -> 1
318.45.457.1:4048 -> 1
556.73.608.23:4827 -> 1
480.59.624.70:6589 -> 1
355.96.29.84:6299 -> 1
423.9.970.68:6251 -> 1
498.19.627.73:5292 -> 1
913.40.528.53:6213 -> 1
968.15.687.72:6690 -> 1
716.2.387.60:5079 -> 1
526.6.731.53:4816 -> 1
757.85.60.5:6411 -> 1
870.86.843.69:5813 -> 1
716.28.117.20:5763 -> 1
717.43.313.51:6636 -> 1
105.41.680.58:5863 -> 1
375.44.83.47:6488 -> 1
321.5.546.40:4186 -> 1
307.68.746.12:6881 -> 1
409.22.958.4:4235 -> 1
977.67.697.27:5449 -> 1
862.41.874.43:6258 -> 1
746.6.283.33:4659 -> 1
892.26.938.90:4601 -> 1
717.85.172.20:4824 -> 1
81.55.490.39:6948 -> 1
635.42.835.2:4531 -> 1
788.82.329.74:6264 -> 1
542.88.286.25:4882 -> 1
33.30.112.60:5494 -> 1
445.2.143.2:6507 -> 1
56.5.179.66:4603 -> 1
439.53.378.51:4065 -> 1
133.57.297.98:4973 -> 1
400.34.338.84:5161 -> 1
67.48.333.74:5050 -> 1
607.11.335.89:6446 -> 1
306.12.261.97:6874 -> 1
699.95.850.27:6435 -> 1
104.51.220.90:5422 -> 1
922.95.255.86:6638 -> 1
571.36.1.56:5377 -> 1
632.89.697.25:5751 -> 1
635.81.585.57:4566 -> 1
147.72.996.35:5372 -> 1
943.91.772.33:5418 -> 1
225.63.202.58:4652 -> 1
312.83.576.80:4473 -> 1
495.13.263.24:4451 -> 1
712.85.745.25:6172 -> 1
53.5.839.21:4405 -> 1
467.79.258.46:4230 -> 1
789.24.116.18:6634 -> 1
321.43.849.11:4967 -> 1
922.77.26.31:4744 -> 1
849.85.389.23:5924 -> 1
732.26.14.19:6607 -> 1
358.75.676.60:4747 -> 1
367.50.369.15:4634 -> 1
768.19.821.38:6357 -> 1
439.5.499.61:4684 -> 1
568.4.953.43:4227 -> 1
222.25.792.66:4867 -> 1
949.19.501.28:5544 -> 1
385.53.812.67:4205 -> 1
606.16.451.55:6805 -> 1
152.13.294.50:4113 -> 1
585.44.486.94:6200 -> 1
323.16.971.71:6429 -> 1
980.16.214.21:6378 -> 1
25.56.153.6:5980 -> 1
784.48.173.20:4996 -> 1
389.69.507.47:5932 -> 1
940.93.12.19:6585 -> 1
220.84.879.79:4920 -> 1
643.37.518.78:6197 -> 1
237.87.613.51:6628 -> 1
377.7.197.52:4717 -> 1
664.71.463.36:6998 -> 1
194.16.773.11:6573 -> 1
732.91.176.91:4490 -> 1
715.96.97.19:6009 -> 1
250.1.404.15:5906 -> 1
379.48.379.12:4676 -> 1
797.79.656.57:6158 -> 1
Jun 02
261.90.345.41:6526 -> 1
962.59.336.40:4686 -> 1
856.39.193.39:6980 -> 1
302.74.311.41:6698 -> 1
917.1.318.12:4448 -> 1
701.89.646.79:4662 -> 1
778.49.863.92:6402 -> 1
796.98.784.22:5541 -> 1
970.25.615.23:5340 -> 1
724.27.578.43:5821 -> 1
358.68.210.16:4261 -> 1
623.49.412.86:6828 -> 1
92.80.718.57:4718 -> 1
199.50.845.70:6387 -> 1
605.12.383.41:5021 -> 1
494.72.129.16:5737 -> 1
852.88.788.58:5767 -> 1
377.12.773.67:5174 -> 1
878.33.937.65:5835 -> 1
167.28.896.24:4271 -> 1
88.71.486.88:5273 -> 1
430.61.662.32:5962 -> 1
804.2.274.77:4136 -> 1
881.94.372.36:6792 -> 1
29.79.609.73:5694 -> 1
814.55.641.45:4778 -> 1
741.65.365.92:6240 -> 1
518.4.138.55:6038 -> 1
547.6.893.7:4209 -> 1
530.12.386.83:5661 -> 1
454.30.768.66:5960 -> 1
350.92.432.49:6112 -> 1
943.10.871.70:5660 -> 1
774.41.652.27:4028 -> 1
37.98.984.69:4479 -> 1
956.12.63.70:5845 -> 1
121.38.29.55:5082 -> 1
837.68.709.49:6051 -> 1
599.91.171.86:4895 -> 1
345.98.302.28:6251 -> 1
129.32.239.51:6281 -> 1
94.48.624.68:5055 -> 1
129.4.588.29:5798 -> 1
406.19.401.6:5397 -> 1
949.26.361.75:5132 -> 1
429.43.246.64:6389 -> 1
402.85.483.96:4163 -> 1
47.96.853.42:5137 -> 1
26.49.681.5:6963 -> 1
662.59.678.51:4874 -> 1
35.9.242.73:5522 -> 1
562.3.116.34:6203 -> 1
118.4.675.77:4114 -> 1
870.53.192.33:5376 -> 1
216.61.614.79:4243 -> 1
604.40.204.25:5145 -> 1
143.50.144.4:6561 -> 1
671.30.122.58:6942 -> 1
15.16.769.36:4922 -> 1
596.70.417.58:6305 -> 1
443.50.753.2:6365 -> 1
534.7.167.84:4759 -> 1
434.49.382.12:6441 -> 1
600.90.184.2:4800 -> 1
709.66.453.68:4690 -> 1
911.9.564.81:5494 -> 1
340.64.535.6:6099 -> 1
488.31.960.17:4709 -> 1
95.58.48.82:4510 -> 1
136.45.643.78:6813 -> 1
115.43.710.66:6107 -> 1
137.87.149.95:4619 -> 1
435.63.384.88:4777 -> 1
499.39.63.47:4345 -> 1
567.14.473.65:4663 -> 1
972.53.874.43:4708 -> 1
53.13.470.30:5918 -> 1
603.13.580.87:6889 -> 1
615.12.312.24:4683 -> 1
660.58.870.38:6088 -> 1
880.75.712.25:5722 -> 1
649.37.574.47:4282 -> 1
856.38.374.19:5594 -> 1
141.90.181.85:6655 -> 1
312.79.818.86:4555 -> 1
660.89.804.91:6096 -> 1
702.26.95.51:6673 -> 1
220.19.512.60:5895 -> 1
405.76.269.42:6665 -> 1
